Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C_Small,C4 C5 C6,0.1uF,C_0805,3,~
2,Unpolarized capacitor,C_Small,C7,10uF,C_0805,1,~
3,Unpolarized capacitor,C_Small,C3,1uF,C_0805,1,~
4,Unpolarized capacitor,C_Small,C1 C2,22pF,C_0805,2,~
5,"Diode, small symbol",D_Small,D1 D2 D3 D4,SOD-123,D_SOD-123,4,~
6,"resettable fuse, polymeric positive temperature coefficient (PPTC), small symbol",Polyfuse_Small,F1,500mA,Fuse_SMD1206_Reflow,1,~
7,,MX-1U,MX1 MX2 MX3 MX4,MX-1U,MX-1U,4,
8,"Resistor, small symbol",R_Small,R1 R4,10k,R_0805,2,~
9,"Resistor, small symbol",R_Small,R2 R3,22,R_0805,2,~
10,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,SKQG-1155865,1,
11,"16MHz, 16kB Flash, 1.25kB SRAM, 512B EEPROM, USB 2.0, TQFP-44",ATmega32U4-AU,U1,ATmega32U4-AU,TQFP-44_10x10mm_Pitch0.8mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf
12,,Molex-0548190589,USB1,Molex-0548190589,Molex-0548190589-Assembly,1,
13,"Four pin crystal, two ground/package pins (pin2 and 4) small symbol",Crystal_GND24_Small,Y1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,1,~
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,13,,,,,,
Component Count:,24,,,,,,
Fitted Components:,24,,,,,,
Number of PCBs:,1,,,,,,
Total components:,24,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,,,,,,,
BoM Date:,1/7/2019 21:46,,,,,,
Schematic Source:,,,,,,,
KiCad Version:,Eeschema (5.0.0),,,,,,
